id,name,type,cr,ac,hp,speed,str,dex,con,int,wis,cha,traits,actions
m-ghoul,Gul (Ghoul),Orta Hortlak (Undead),1,12,22,9m,13,15,10,7,10,6,"Undead, Zehire Bağışıklık.","Bite: +2 vurur, 2d6+2 delici. Claws: +4 vurur, 2d4+2 kesici + Felç (CON Save 10, Elfler etkilenmez)."
m-giant-spider,Dev Örümcek (Giant Spider),Büyük Yaratık (Beast),1,14,26,"9m, Tırmanma: 9m",14,16,12,2,11,4,"Spider Climb, Web Sense, Web Walker.","Bite: +5 vurur, 1d8+3 delici + 2d8 zehir (DC 11 CON, başarılıysa yarı hasar). Web (Recharge 5-6): 5/60ft menzil, DC 12 STR yoksa hedef ağa yapışır."
m-owlbear,Baykuşayı (Owlbear),Büyük Yaratık (Monstrosity),3,13,59,12m,20,12,17,3,12,7,Keen Sight and Smell.,"Multiattack: Gaga ve Pençe saldırısı yapar. Beak: +7 vurur, 1d10+5 delici. Claws: +7 vurur, 2d8+5 kesici."
m-gelatinous-cube,Jelatinimsi Küp (Gelatinous Cube),Büyük Yaratık (Ooze),2,6,84,4.5m,14,3,20,1,6,1,"Transparent (görünmesi zor), Engulf: hareket ederken üstünden geçtiği hedefi yutabilir.","Pseudopod: +5 vurur, 3d6+2 asit. Engulf: DC 12 DEX yoksa hedef yutulur ve 3d6 asit hasarı alır."
m-wight,Wight,Orta Hortlak (Undead),3,14,45,9m,15,14,16,10,13,15,"Undead, Sunlight Sensitivity: gün ışığında dezavantajlıdır.","Multiattack: 2 Life Drain veya kılıç saldırısı. Life Drain: +4 vurur, 1d6+2 nekrotik + hedefin can maksimumu düşer. Longsword: +4 vurur, 1d8+2 kesici."
m-ettin,Ettin,Dev İki Başlı (Giant),4,12,85,9m,21,8,17,6,10,8,"İki Kafa: Algı kontrollerinde avantajlı, biri uyanıkken sürpriz atağa uğramaz.","Multiattack: Balta ve Topuz saldırısı. Battleaxe: +9 vurur, 2d8+5 kesici. Morningstar: +9 vurur, 2d8+5 delici."
m-troll,Trol (Troll),Büyük Dev (Giant),5,15,84,9m,18,13,20,7,9,7,Regeneration: Ateş/asit hasarı almadığı sürece her tur başı 10 HP yeniler. Keen Smell.,"Multiattack: Isırık ve 2 Pençe. Bite: +9 vurur, 1d6+4 delici. Claw: +9 vurur, 2d6+4 kesici."
m-hill-giant,Tepe Devi (Hill Giant),Dev (Giant),5,13,105,12m,21,8,19,5,9,6,Kaba kuvvet ve büyük can havuzuyla ön saf tehdidi.,"Multiattack: 2 Topuz saldırısı. Greatclub: +9 vurur, 3d8+6 ezici. Rock: +9 vurur, 3d10+6 ezici (60/240ft)."
m-frost-giant,Buz Devi (Frost Giant),Dev (Giant),8,15,149,12m,23,9,21,9,10,12,Soğuğa Bağışıklık.,"Multiattack: 2 Balta saldırısı. Greataxe: +12 vurur, 3d12+7 kesici. Rock: +12 vurur, 3d10+7 ezici."
m-fire-giant,Ateş Devi (Fire Giant),Dev (Giant),9,18,162,9m,25,9,23,10,14,13,Ateşe Bağışıklık.,"Multiattack: 2 Kılıç saldırısı. Greatsword: +11 vurur, 6d6+7 kesici. Rock: +11 vurur, 4d10+7 ezici."
m-vampire,Vampir (Vampire),Orta Hortlak (Undead),13,16,144,"9m, Tırmanma: 9m",18,18,18,17,15,18,"Shapechanger (Yarasa/Sis formu), Regeneration, Spider Climb, Legendary Resistance (3/gün).","Multiattack: 2 Pençe veya Charm+Isırık. Claw: +9 vurur, 2d6+4 kesici. Bite: +9 vurur, 1d6 delici + 3d6 nekrotik + can emer."
m-death-knight,Ölüm Şövalyesi (Death Knight),Orta Hortlak (Undead Spellcaster),17,20,180,9m,20,11,18,12,16,18,"Aura of Despair (korkutur), Legendary Resistance (3/gün), 9. Seviye Büyücü.","Multiattack: 2 Kılıç saldırısı. Greatsword: +10 vurur, 2d6+5 kesici + 1d8 nekrotik. Hellfire Orb (Recharge 5-6): DC 18 DEX, 10d6 ateş + 10d6 nekrotik."
m-balor,Balor,"Büyük İblis (Fiend, Demon)",19,19,262,"12m, Uçuş: 18m",26,15,22,20,16,22,"Death Throes (öldüğünde 20ft alanda 70 ateş hasarı patlar), Fire Aura, Magic Resistance, Ateşe Bağışıklık.","Multiattack: Kılıç ve Kırbaç. Longsword: +14 vurur, 3d10+8 kesici + 3d8 ateş. Whip: +14 vurur, 2d6+8 ateş + hedefi 25ft çeker."
m-pit-fiend,Çukur İblisi (Pit Fiend),"Büyük İblis (Fiend, Devil)",20,19,336,"9m, Uçuş: 18m",26,14,24,22,18,24,"Fear Aura, Magic Resistance, Ateş & Zehire Bağışıklık.","Multiattack: Isırık + 2 Pençe + Topuz. Bite: +14 vurur, 4d6+8 delici + 6d6 zehir. Mace: +14 vurur, 2d6+8 ezici + 6d10 ateş."
